Name,Score,Genres,Type,Episodes,Producers,Studios,Source,Duration,Ranked,Popularity,Members,Favorites,Watching,Completed,On-Hold,Dropped,Plan to Watch
Keiraku no Houteishiki Level-C,5.89,"Hentai, Drama, Yaoi",OVA,1.0,Milky Animation Label,J.C.Staff,Manga,30 min.,18.0,4370.0,13308,31,260,10679,92,229,2048
MÄR,7.28,"Action, Adventure, Comedy, Fantasy, Shounen",TV,102.0,"TV Tokyo, Shogakukan-Shueisha Productions, A-Line",SynergySP,Manga,24 min. per ep.,2455.0,2427.0,43615,281,3490,19097,4871,5058,11099
Bishoujo Senshi Sailor Moon R,7.69,"Demons, Magic, Romance, Shoujo",TV,43.0,TV Asahi,Toei Animation,Manga,24 min. per ep.,1051.0,1213.0,120962,849,5165,96739,3391,1828,13839
Sensitive Pornograph,6.75,"Comedy, Drama, Hentai, Romance, Yaoi",OVA,1.0,Phoenix Entertainment,Ajia-Do,Manga,30 min.,19.0,2541.0,40019,241,660,35297,146,425,3491
Umi ga Kikoeru,6.61,"Drama, Romance, School, Slice of Life",Special,1.0,Phoenix Entertainment,"J.C.Staff, Studio Ghibli",Novel,1 hr. 12 min.,5319.0,1706.0,77432,267,1259,53882,606,361,21324
Trouble Chocolate,6.54,"Comedy, Romance, Sci-Fi, Shounen",TV,20.0,Robot Communications,AIC,Radio,25 min. per ep.,5709.0,6797.0,4433,20,270,1891,246,371,1655
Papa to Kiss in the Dark,6.03,"Comedy, Drama, Romance, Yaoi",OVA,2.0,"Hakusensha, Three Fat Samurai, Sol Blade",TNK,Light novel,30 min. per ep.,20.0,2426.0,43718,186,679,38188,237,697,3917
Haru wo Daite Ita,6.76,"Drama, Romance, Yaoi",OVA,2.0,"Frontier Works, On-Lead",Trinet Entertainment,Manga,30 min. per ep.,21.0,3437.0,22629,98,325,19257,176,274,2597
True Love Story,6.07,Romance,OVA,3.0,KSS,Studio Deen,Visual novel,25 min. per ep.,7924.0,6914.0,4233,5,149,1898,84,105,1997
Nanami-chan,6.05,"Kids, Comedy",TV,12.0,Robot Communications,Studio Deen,Manga,5 min. per ep.,8056.0,10236.0,1108,1,62,513,44,112,377
Binchou-tan,6.92,"Slice of Life, Comedy",TV,12.0,"Bandai Visual, Frontier Works, TBS, Alchemist",Studio Deen,Manga,12 min. per ep.,3937.0,5023.0,9440,60,368,4522,410,639,3501
Bomberman Jetters,6.87,"Action, Sci-Fi, Adventure, Comedy",TV,52.0,"Bandai Visual, Frontier Works, TBS, Alchemist",Studio Deen,Game,23 min. per ep.,4157.0,7508.0,3387,43,181,1445,185,326,1250
Osakana wa Ami no Naka,4.96,"Drama, Shounen Ai",OVA,1.0,Echo,J.C.Staff,Manga,27 min.,10633.0,5588.0,7243,4,95,5630,65,131,1322
Chijoku Shinsatsushitsu,6.24,Hentai,OVA,2.0,"Milky Animation Label, T-Rex",TMS Entertainment,Visual novel,26 min. per ep.,22.0,6714.0,4564,11,296,2603,204,184,1277
Yuki no Joou (TV),7.03,"Adventure, Drama, Fantasy, Shoujo",TV,36.0,NHK,TMS Entertainment,Book,25 min. per ep.,3527.0,7453.0,3509,16,230,724,313,247,1995
Boku no Sexual Harassment,5.69,"Hentai, Yaoi",OVA,3.0,Triple X,Brain's Base,Novel,36 min. per ep.,23.0,4107.0,15491,78,407,12199,217,527,2141
School Days ONA,5.96,"Romance, School, Drama",ONA,1.0,"Avex Entertainment, Lantis",Brain's Base,Visual novel,21 min.,8369.0,2910.0,31294,52,462,22710,365,429,7328
Kaze wo Mita Shounen,6.71,"Adventure, Drama, Fantasy",Movie,1.0,"Avex Entertainment, Lantis",Brain's Base,Book,1 hr. 37 min.,4863.0,6456.0,5045,0,104,2564,80,81,2216
RahXephon: Tagen Hensoukyoku,7.04,"Action, Drama, Mecha, Psychological, Romance, Sci-Fi",Movie,1.0,"Media Factory, Shochiku, Asatsu DK, Sakura Create",Bones,Original,2 hr.,3480.0,4334.0,13589,20,243,8922,215,149,4060
Tokyo Godfathers,8.29,"Comedy, Drama",Movie,1.0,"Dentsu, Genco, Tohokushinsha Film Corporation",Madhouse,Original,1 hr. 32 min.,231.0,740.0,198233,1721,3375,124382,1458,614,68404
Tenjou Tenge: The Past Chapter,7.07,"Adventure, Drama, Martial Arts, Romance, Shounen, Supernatural",Movie,1.0,"Dentsu, Genco, Tohokushinsha Film Corporation",Madhouse,Manga,1 hr. 32 min.,3334.0,3654.0,20134,23,358,14034,238,210,5294
Naruto: Akaki Yotsuba no Clover wo Sagase,6.52,"Adventure, Comedy, Shounen",Special,1.0,"Dentsu, Genco, Tohokushinsha Film Corporation",Studio Pierrot,Manga,17 min.,5798.0,1842.0,68025,137,528,60210,351,301,6635
Bleach: Memories in the Rain,7.15,"Action, Adventure, Supernatural, Drama, Shounen",Special,1.0,"Dentsu, Genco, Tohokushinsha Film Corporation",Studio Pierrot,Manga,29 min.,2986.0,1346.0,105026,327,984,92300,521,381,10840
Zoids,7.38,"Action, Adventure, Comedy, Mecha, Sci-Fi",TV,67.0,"Dentsu, Genco, Tohokushinsha Film Corporation",Xebec,Original,25 min. per ep.,2009.0,2495.0,41604,273,1337,29603,1798,2484,6382
Zoids Shinseiki/Zero,7.34,"Adventure, Comedy, Mecha, Sci-Fi, Shounen, Sports",TV,26.0,"Dentsu, Genco, Tohokushinsha Film Corporation",Xebec,Original,24 min. per ep.,2181.0,3329.0,24166,149,601,18904,625,649,3387
Chou Henshin Cosprayers Specials,5.02,"Adventure, Magic, Comedy, Sci-Fi",Special,3.0,m.o.e.,"Imagin, Studio Live",Original,14 min. per ep.,10591.0,8932.0,1930,1,44,1205,55,45,581
Kishin Houkou Demonbane,6.05,"Comedy, Drama, Mecha, Sci-Fi",OVA,1.0,"Frontier Works, Kadokawa Shoten, Half H.P Studio, Digiturbo","Group TAC, View Works",Visual novel,24 min.,8031.0,5196.0,8606,12,228,4992,161,167,3058
Burn Up!,6.09,"Action, Sci-Fi, Comedy, Police, Ecchi",OVA,1.0,Media Rings,AIC,Original,46 min.,7864.0,5706.0,6908,4,175,4075,112,96,2450
Burn Up! W,6.37,"Sci-Fi, Comedy, Ecchi, Mecha, Shounen",OVA,4.0,Media Rings,AIC,Original,27 min. per ep.,6561.0,5274.0,8334,5,215,5463,195,221,2240
Pale Cocoon,7.37,"Drama, Sci-Fi",OVA,1.0,Directions,Studio Rikka,Original,23 min.,2034.0,1994.0,60346,223,904,39566,424,178,19274
Ginyuu Mokushiroku Meine Liebe Wieder,6.69,"Drama, Fantasy, Shoujo",TV,13.0,"Geneon Universal Entertainment, Marvelous",Bee Train,Visual novel,24 min. per ep.,4963.0,5849.0,6482,14,219,2762,271,267,2963
Tenamonya Voyagers,6.19,"Ecchi, Adventure, Comedy, Mecha, Sci-Fi",OVA,4.0,Bandai Visual,Studio Pierrot,Original,30 min. per ep.,7416.0,7373.0,3592,3,130,1468,90,110,1794
Nanaka 6/17,6.61,"Slice of Life, Comedy, Drama, Romance, Shounen",TV,12.0,Genco,J.C.Staff,Manga,25 min. per ep.,5351.0,5409.0,7842,15,318,4216,341,488,2479
Hellsing Ultimate,8.4,"Action, Military, Horror, Supernatural, Vampire, Seinen",OVA,10.0,"Geneon Universal Entertainment, StudioRF Inc., Shounen Gahousha","Madhouse, Satelight, Graphinica",Manga,50 min. per ep.,154.0,143.0,676023,18134,61371,406085,35477,17217,155873
Detective Conan Movie 01: The Timed Skyscraper,7.87,"Adventure, Mystery, Comedy, Police, Shounen",Movie,1.0,"Shogakukan-Shueisha Productions, YTV",TMS Entertainment,Manga,1 hr. 34 min.,711.0,2150.0,53840,75,491,49829,182,199,3139
Detective Conan Movie 02: The Fourteenth Target,7.9,"Adventure, Mystery, Comedy, Police, Shounen",Movie,1.0,"Shogakukan-Shueisha Productions, YTV",TMS Entertainment,Manga,1 hr. 39 min.,671.0,2303.0,48210,71,383,44493,187,207,2940
Detective Conan Movie 03: The Last Wizard of the Century,8.04,"Adventure, Mystery, Comedy, Police, Shounen",Movie,1.0,"Shogakukan-Shueisha Productions, YTV",TMS Entertainment,Manga,1 hr. 40 min.,484.0,2244.0,50636,74,511,46352,219,246,3308
Gasaraki,6.66,"Psychological, Mecha, Military, Supernatural, Drama",TV,25.0,"Yomiko Advertising, Atelier Musa",Sunrise,Original,25 min. per ep.,5082.0,3876.0,17612,41,889,5726,935,1087,8975
Miami Guns,6.47,"Comedy, Ecchi, Police, Shounen",TV,13.0,"Kodansha, Animaruya",Group TAC,Manga,23 min. per ep.,6070.0,6476.0,4973,14,261,1965,202,363,2182
Otaku no Video,7.14,"Comedy, Drama, Historical, Magic, Mecha, Sci-Fi",OVA,2.0,Youmex,Gainax,Other,48 min. per ep.,3042.0,3287.0,24904,96,519,14365,344,258,9418
Pugyuru,5.73,"Comedy, Fantasy, School",TV,13.0,"Kids Station, Kodansha, Movic",Creators Dot Com,Manga,3 min. per ep.,9046.0,7185.0,3852,8,105,2203,93,170,1281
Eiken: Eikenbu yori Ai wo Komete,4.39,"Ecchi, Comedy, Harem, School",OVA,2.0,Genco,J.C.Staff,Manga,30 min. per ep.,10938.0,3268.0,25048,46,801,16643,350,997,6257
Shinigami no Ballad.,6.93,"Drama, Fantasy, Psychological, Supernatural",TV,6.0,Pony Canyon,"Group TAC, Ginga Ya",Light novel,25 min. per ep.,3879.0,2492.0,41384,95,1364,22476,1465,1761,14318
Ergo Proxy,7.92,"Psychological, Mystery, Sci-Fi",TV,23.0,"Geneon Universal Entertainment, WOWOW, Sakura Create",Manglobe,Original,25 min. per ep.,651.0,249.0,478552,11039,28651,213453,26468,18804,191176
Arion,6.14,"Action, Adventure, Fantasy, Magic, Drama, Seinen",Movie,1.0,Tokuma Shoten,Sunrise,Manga,2 hr.,7588.0,6615.0,4734,7,132,2259,68,81,2194
Ranma ½: Kessen Tougenkyou! Hanayome wo Torimodose!,7.42,"Adventure, Comedy, Shounen",Movie,1.0,"Pony Canyon, Fuji TV",Production I.G,Manga,1 hr.,1821.0,3893.0,17528,20,200,14345,177,106,2700
xxxHOLiC Movie: Manatsu no Yoru no Yume,7.96,"Mystery, Comedy, Psychological, Supernatural, Drama",Movie,1.0,"Shochiku, Kodansha, Movic",Production I.G,Manga,1 hr.,589.0,2089.0,56195,110,727,41572,482,271,13143
Oniisama e...,7.79,"Psychological, Drama, School, Shoujo, Shoujo Ai",TV,39.0,NHK,Tezuka Productions,Manga,25 min. per ep.,832.0,3031.0,28971,622,1922,7539,1307,987,17216
Mahoujin Guru Guru Movie,6.81,"Adventure, Comedy, Fantasy, Magic, Shounen",Movie,1.0,NHK,Nippon Animation,Manga,30 min.,4420.0,9303.0,1667,4,51,876,28,58,654
Hanaukyou Maid-tai OVA,6.69,"Comedy, Ecchi, Harem, Romance",OVA,3.0,m.o.e.,Daume,Manga,14 min. per ep.,4959.0,5160.0,8732,6,165,6586,131,107,1743
Yomigaeru Sora: Rescue Wings,7.42,"Drama, Military, Seinen",TV,12.0,"Bandai Visual, Lantis, Imagine",J.C.Staff,Original,23 min. per ep.,1850.0,4618.0,11676,35,452,4440,393,405,5986
Kokoro Toshokan,6.48,"Comedy, Drama, Slice of Life",TV,13.0,Victor Entertainment,Studio Deen,Manga,24 min. per ep.,5991.0,6289.0,5362,17,208,2079,242,407,2426
NieA Under 7,6.85,"Comedy, Sci-Fi, Slice of Life",TV,13.0,"Shaft, Genco, Kadokawa Shoten, SynergySP, Pioneer LDC",Triangle Staff,Original,23 min. per ep.,4214.0,3083.0,28038,116,1124,10125,1110,1197,14482
Koukaku Kidoutai: Stand Alone Complex 2nd GIG,8.54,"Action, Military, Sci-Fi, Mystery, Police, Mecha, Seinen",TV,26.0,"Bandai Visual, Dentsu, Victor Entertainment, Kodansha, Tokuma Shoten, Nippon Television Network",Production I.G,Manga,25 min. per ep.,88.0,778.0,191690,3021,7242,115405,5597,2104,61342
Tsubasa Chronicle: Tori Kago no Kuni no Himegimi,7.33,"Action, Adventure, Fantasy, Drama, Shounen",Movie,1.0,"Shochiku, NHK, Kodansha, Movic, Nippon Shuppan Hanbai (Nippan) K.K.",Production I.G,Manga,35 min.,2230.0,2482.0,41710,85,454,31418,401,205,9232
Bakuretsu Hunters OVA,6.54,"Action, Adventure, Harem, Comedy, Super Power, Magic, Romance, Ecchi, Fantasy, Shounen",OVA,3.0,"Tokyo Kids, Movic","Xebec, Production Reed",Manga,28 min. per ep.,5658.0,6219.0,5518,9,179,3288,137,141,1773
Android Ana Maico 2010,6.44,"Comedy, Drama, Sci-Fi, Seinen",TV,24.0,"Pony Canyon, animate Film, Movic","Group TAC, Animaruya",Manga,14 min. per ep.,6197.0,7925.0,2867,3,120,1140,152,238,1217
I''s Pure,6.91,"Comedy, Drama, Ecchi, Romance, School",OVA,6.0,"Pony Canyon, animate Film, Movic","Studio Pierrot, Arms",Manga,27 min. per ep.,3995.0,3422.0,22823,61,625,14848,560,539,6251
Chikyuu Shoujo Arjuna,6.83,"Adventure, Drama, Magic, Sci-Fi",TV,13.0,"Bandai Visual, Sotsu",Satelight,Original,26 min. per ep.,4321.0,3194.0,26398,179,989,11734,1059,1541,11075
Dragon Ball Z,8.16,"Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",TV,291.0,Fuji TV,Toei Animation,Manga,24 min. per ep.,348.0,88.0,888982,32032,32608,772421,19285,23682,40986
Tennis no Ouji-sama: Atobe kara no Okurimono - Kimi ni Sasageru Tennis Prince Matsuri,7.49,"Comedy, Sports, Shounen",Movie,1.0,"Production I.G, Nihon Ad Systems",Trans Arts,Manga,30 min.,1618.0,4355.0,13428,44,135,11041,78,116,2058
Tennis no Ouji-sama Movie 1: Futari no Samurai - The First Game,7.36,"Action, Sports, Shounen",Movie,1.0,"Nihon Ad Systems, Shueisha",Production I.G,Manga,1 hr. 5 min.,2085.0,3763.0,18670,45,173,16033,100,117,2247
Nanako Kaitai Shinsho,5.58,"Military, Sci-Fi, Comedy, Mecha",OVA,6.0,"Genco, Pioneer LDC",Radix,Original,26 min. per ep.,9462.0,5065.0,9224,25,370,5101,324,617,2812
Tactical Roar,6.44,"Comedy, Military, Romance, Sci-Fi",TV,13.0,"Bandai Visual, Lantis",Actas,Manga,25 min. per ep.,6237.0,5124.0,8903,12,437,4555,379,501,3031
Sakura Tsuushin,6.21,"Comedy, Drama, Romance, Slice of Life",OVA,12.0,"Kitty Films, Studio Tulip",Shaft,Manga,24 min. per ep.,7278.0,4657.0,11429,21,446,5833,427,614,4109
Boku wa Imouto ni Koi wo Suru,6.32,"Romance, Shoujo",OVA,1.0,"Shogakukan-Shueisha Productions, ZOOM ENTERPRISE",Vega Entertainment,Manga,49 min.,6763.0,2639.0,37464,113,627,29155,296,411,6975
Ginga Eiyuu Densetsu,9.07,"Military, Sci-Fi, Space, Drama",OVA,110.0,"Kitty Films, K-Factory","Artland, Magic Bus",Novel,26 min. per ep.,7.0,633.0,230168,13834,25968,52583,14911,5950,130756
Initial D Battle Stage,7.57,"Action, Cars, Drama, Seinen, Sports",OVA,1.0,"OB Planning, Fuji TV",Pastel,Manga,52 min.,1374.0,3135.0,27360,86,454,21366,228,241,5071
Initial D Extra Stage,7.33,"Action, Cars, Sports, Drama, Seinen",OVA,2.0,"OB Planning, Fuji TV",Pastel,Manga,27 min. per ep.,2220.0,2718.0,35581,67,584,29273,267,211,5246
Virgin Night,6.41,"Hentai, Romance",OVA,1.0,Green Bunny,Production I.G,Manga,30 min.,24.0,7338.0,3631,18,187,2004,130,139,1171
Guardian Hearts,5.87,"Comedy, Ecchi, Magic, Romance, School",OVA,6.0,KSS,Production I.G,Manga,17 min. per ep.,8641.0,5615.0,7165,7,320,3623,228,331,2663
King of Fighters: Another Day,6.32,"Adventure, Drama, Shounen",ONA,4.0,KSS,Production I.G,Game,10 min. per ep.,6795.0,4708.0,11152,31,176,8757,139,189,1891
Uba,5.84,Hentai,OVA,2.0,Digital Works,Y.O.U.C,Original,29 min. per ep.,25.0,6636.0,4724,17,318,2899,202,194,1111
Jinshin Yuugi,5.77,Hentai,OVA,2.0,Milky Animation Label,Shinkuukan,Visual novel,30 min. per ep.,26.0,9061.0,1836,0,129,947,79,104,577
Sexfriend,6.68,Hentai,OVA,2.0,"Green Bunny, Cosmic Ray",Shinkuukan,Visual novel,30 min. per ep.,27.0,4068.0,15807,166,911,11328,404,376,2788
Chicchana Yukitsukai Sugar,7.08,"Comedy, Fantasy, Slice of Life",TV,24.0,"Kadokawa Shoten, Broccoli, TBS, Pioneer LDC",J.C.Staff,Original,24 min. per ep.,3274.0,3645.0,20179,134,848,10890,1322,1778,5341
Ginsoukikou Ordian,5.78,"Mecha, Sci-Fi",TV,24.0,Soft Garage,Plum,Original,25 min. per ep.,8905.0,8447.0,2340,2,137,655,108,175,1265
Choujuushin Gravion,6.4,"Action, Comedy, Mecha, Sci-Fi, Shounen",TV,13.0,Imagica,Gonzo,Original,23 min. per ep.,6402.0,4677.0,11360,20,516,5694,485,597,4068
Bleach: The Sealed Sword Frenzy,6.98,"Action, Adventure, Comedy, Super Power, Supernatural, Shounen",Special,1.0,TV Tokyo,Studio Pierrot,Manga,33 min.,3695.0,1419.0,97466,204,943,84088,555,343,11537
Sister Princess: Re Pure,6.26,"Drama, Romance",TV,13.0,TV Tokyo,Zexcs,Light novel,25 min. per ep.,7058.0,5403.0,7846,13,295,3840,328,458,2925
Sister Princess,6.43,"Comedy, Drama, Harem, Romance, Slice of Life",TV,26.0,"Starchild Records, TV Tokyo Music, GANSIS",Zexcs,Light novel,23 min. per ep.,6266.0,3576.0,20953,78,1359,9508,1116,1802,7168
Kyou no 5 no 2,7.24,"Comedy, Ecchi, School, Seinen",OVA,4.0,"Starchild Records, TV Tokyo Music, GANSIS",Shinkuukan,Manga,29 min. per ep.,2608.0,3109.0,27752,44,871,17542,611,610,8118
Narutaru: Mukuro Naru Hoshi Tama Taru Ko,6.07,"Drama, Seinen, Thriller",TV,13.0,Kids Station,Planet,Manga,24 min. per ep.,7922.0,3036.0,29056,69,1291,10283,1061,1228,15193
Samurai Spirits 2: Asura Zanmaden,6.2,"Action, Fantasy, Martial Arts, Samurai, Super Power",OVA,2.0,Kids Station,Ajia-Do,Game,30 min. per ep.,7355.0,8826.0,2001,2,73,1120,49,49,710
Narue no Sekai,6.59,"Comedy, Romance, Sci-Fi",TV,12.0,"Lantis, Media Factory, Pony Canyon, Imagica",Studio Live,Manga,24 min. per ep.,5403.0,4014.0,16213,26,697,8721,566,634,5595
Colorful,6.05,"Comedy, Ecchi, Slice of Life",TV,16.0,TBS,"Triangle Staff, Studio Wombat",Manga,6 min. per ep.,8011.0,3571.0,21032,47,805,9700,627,1427,8473
Ushio to Tora,7.16,"Action, Comedy, Horror",OVA,10.0,"OB Planning, Toshiba EMI, Toho, Shogakukan",Pastel,Manga,30 min. per ep.,2933.0,4710.0,11146,38,609,5273,346,496,4422
Konjiki no Gash Bell!!: 101 Banme no Mamono,7.29,"Adventure, Shounen, Supernatural",Movie,1.0,"OB Planning, Toshiba EMI, Toho, Shogakukan",Toei Animation,Original,1 hr. 24 min.,2398.0,5643.0,7088,3,124,4892,103,87,1882
Kiba,7.32,"Adventure, Fantasy, Shounen",TV,51.0,"Aniplex, Ashi Production, Sony Music Entertainment",Madhouse,Original,24 min. per ep.,2253.0,1834.0,68142,465,4079,34807,4356,5085,19815
School Rumble Ni Gakki,8.03,"Comedy, Romance, School, Shounen",TV,26.0,"Sotsu, Marvelous, Studio Jack",Studio Comet,Manga,24 min. per ep.,499.0,1099.0,135499,793,3743,103198,3802,2719,22037
Jinki:Extend - Sorekara,6.21,"Sci-Fi, Mecha",OVA,1.0,"TV Asahi, GANSIS",feel.,Manga,23 min.,7317.0,8189.0,2585,2,57,1548,54,45,881
Suzumiya Haruhi no Yuuutsu,7.88,"Comedy, Mystery, Parody, School, Sci-Fi, Slice of Life",TV,14.0,"Lantis, Kadokawa Shoten, Kadokawa Pictures Japan, KlockWorx",Kyoto Animation,Light novel,23 min. per ep.,702.0,115.0,745062,15729,29640,490883,24161,20252,180126
Gakuen Heaven,6.55,"Harem, Comedy, Drama, Romance, School, Shounen Ai",TV,13.0,"Geneon Universal Entertainment, Visual Art's",Tokyo Kids,Visual novel,26 min. per ep.,5618.0,2127.0,55034,203,2363,35192,2072,3557,11850
Kyou kara Ore wa!!,8.07,"Comedy, Shounen",OVA,10.0,"Geneon Universal Entertainment, Visual Art's",Studio Pierrot,Manga,43 min. per ep.,455.0,3419.0,22989,285,1600,8702,1022,598,11067
Gokinjo Monogatari,7.47,"Slice of Life, Comedy, Drama, Romance, Shoujo",TV,50.0,"Geneon Universal Entertainment, Visual Art's",Toei Animation,Manga,25 min. per ep.,1675.0,4299.0,13837,112,1207,3396,964,719,7551
Ouran Koukou Host Club,8.2,"Comedy, Harem, Romance, School, Shoujo",TV,26.0,"VAP, Hakusensha, Nippon Television Network",Bones,Manga,23 min. per ep.,305.0,102.0,827960,30919,35862,638636,26554,25175,101733
Soul Link,6.13,"Action, Adventure, Space, Comedy, Romance, Military, Sci-Fi",TV,12.0,"Geneon Universal Entertainment, Mellow Head",Picture Magic,Visual novel,25 min. per ep.,7639.0,3689.0,19648,21,852,9954,727,1369,6746
Strawberry Panic,7.31,"Drama, Romance, School, Shoujo Ai",TV,26.0,"Lantis, Dwango","Madhouse, Imagin",Other,25 min. per ep.,2285.0,1269.0,113097,1885,5893,58091,5851,7643,35619
Utawarerumono,7.67,"Action, Drama, Fantasy, Sci-Fi",TV,26.0,"Lantis, Half H.P Studio, AQUAPLUS",OLM,Visual novel,23 min. per ep.,1103.0,1057.0,140221,1114,7442,71646,5791,5410,49932
Air Gear,7.53,"Action, Comedy, Ecchi, Shounen, Sports",TV,25.0,"Marvelous, Kodansha",Toei Animation,Manga,24 min. per ep.,1469.0,474.0,298135,3694,11170,203281,10629,15024,58031
Gunparade Orchestra,5.92,"Drama, Mecha, Military, Romance, Sci-Fi, Slice of Life",TV,24.0,"Marvelous, Kodansha",Brain's Base,Game,25 min. per ep.,8466.0,7067.0,4027,3,231,1339,219,384,1854
Digimon Savers,6.95,"Adventure, Comedy, Drama, Fantasy, Shounen",TV,48.0,Fuji TV,Toei Animation,Original,23 min. per ep.,3810.0,1800.0,71051,381,1833,54934,2420,4306,7558
Makai Senki Disgaea,6.76,"Action, Comedy, Demons, Fantasy, Magic",TV,12.0,Nippon Ichi Software,OLM,Game,24 min. per ep.,4630.0,2575.0,39100,170,1439,23252,1741,2417,10251
xxxHOLiC,8.01,"Comedy, Drama, Mystery, Psychological, Supernatural",TV,24.0,"TBS, BMG Japan, Kids Station, Kodansha",Production I.G,Manga,24 min. per ep.,527.0,583.0,249828,4137,13229,123257,13701,11633,88008
Joshikousei: Girl's High,6.58,"Comedy, Drama, Ecchi, School, Slice of Life",TV,12.0,"Genco, Showgate, Futabasha",Arms,Manga,24 min. per ep.,5484.0,2906.0,31305,63,1324,16242,1241,2050,10448
Mobile Suit Gundam SEED MSV Astray,6.36,"Space, Mecha, Military, Sci-Fi",OVA,2.0,"Genco, Showgate, Futabasha",Sunrise,Original,7 min. per ep.,6618.0,4805.0,10549,11,162,7345,121,154,2767
Kikou Senki Dragonar,6.7,"Sci-Fi, Adventure, Space, Mecha",TV,48.0,"Sotsu, Nagoya Broadcasting Network",Sunrise,Original,24 min. per ep.,4893.0,7034.0,4078,12,274,843,224,189,2548
Slayers Premium,7.21,"Adventure, Comedy, Fantasy, Magic, Shounen",Movie,1.0,"Starchild Records, chara-ani.com, GANSIS",Hal Film Maker,Light novel,33 min.,2744.0,3931.0,17118,10,223,12537,195,108,4055
Slayers Gorgeous,7.33,"Adventure, Comedy, Fantasy, Magic, Supernatural",Movie,1.0,Kadokawa Shoten,J.C.Staff,Light novel,1 hr.,2218.0,3977.0,16743,12,235,12405,189,112,3802
Slayers Great,7.34,"Adventure, Comedy, Fantasy, Magic, Shounen",Movie,1.0,"TV Tokyo, SoftX",J.C.Staff,Light novel,59 min.,2177.0,3935.0,16932,12,217,12714,187,102,3712
Slayers Return,7.33,"Adventure, Comedy, Fantasy, Magic, Shounen",Movie,1.0,"Bandai Visual, Kadokawa Shoten",J.C.Staff,Light novel,1 hr.,2218.0,3914.0,17318,20,224,13126,193,105,3670
Dragon Half,6.87,"Comedy, Fantasy, Parody",OVA,2.0,Kadokawa Shoten,Production I.G,Manga,27 min. per ep.,4174.0,3919.0,17271,72,308,12994,187,203,3579
Mahou Shoujo-tai Arusu,7.09,"Adventure, Comedy, Fantasy, Magic",TV,40.0,"Tohokushinsha Film Corporation, Beyond C.",Studio 4°C,Original,9 min. per ep.,3267.0,3263.0,25235,76,1459,6380,1435,1249,14712
.hack//Roots,6.91,"Adventure, Drama, Fantasy, Game, Sci-Fi",TV,26.0,"TV Tokyo, Bandai Visual, CyberConnect2",Bee Train,Original,24 min. per ep.,3982.0,1855.0,66696,283,2260,41609,2942,3552,16333
Digimon Tamers,7.62,"Adventure, Comedy, Drama, Fantasy, Shounen",TV,51.0,"Yomiko Advertising, Fuji TV",Toei Animation,Original,25 min. per ep.,1223.0,927.0,160643,1669,3440,138566,3645,4124,10868
Mind Game,7.79,"Adventure, Comedy, Dementia, Psychological, Romance",Movie,1.0,Beyond C.,Studio 4°C,Manga,1 hr. 44 min.,844.0,1987.0,60665,819,1240,29459,638,475,28853
Street Fighter II V,7.07,"Action, Adventure, Drama, Mystery, Shounen",TV,29.0,"Group TAC, Studio Take Off","Studio Hibari, Production Reed",Game,24 min. per ep.,3333.0,3486.0,22065,111,795,15629,770,917,3954
Nana,8.46,"Music, Slice of Life, Comedy, Drama, Romance, Shoujo",TV,47.0,"VAP, Nippon Television Network, Shueisha",Madhouse,Manga,23 min. per ep.,120.0,328.0,403296,16944,26741,185800,22031,18693,150031
Zegapain,7.35,"Action, Mecha, Romance, Sci-Fi",TV,26.0,"TV Tokyo, Dentsu, Atelier Musa",Sunrise,Original,23 min. per ep.,2112.0,3015.0,29544,168,1482,11824,1363,1599,13276
Simoun,7.46,"Military, Drama, Magic, Romance, Fantasy, Shoujo Ai",TV,26.0,"Bandai Visual, Sotsu, TV Tokyo Music",Studio Deen,Original,24 min. per ep.,1713.0,2677.0,36303,432,1649,11791,1741,2115,19007
Aa! Megami-sama!: Sorezore no Tsubasa,7.58,"Comedy, Magic, Romance, Seinen, Supernatural",TV,22.0,"TBS, Kodansha, Imagine",AIC,Manga,24 min. per ep.,1324.0,2056.0,57580,184,1604,43366,1616,1141,9853
Green Green OVA,6.0,"Comedy, Ecchi, Romance, School",OVA,1.0,Media Factory,Studio Pierrot,Visual novel,27 min.,8231.0,3225.0,25692,10,203,22372,201,205,2711
Yuu☆Yuu☆Hakusho (Movie),6.82,"Action, Adventure, Comedy, Demons, Supernatural, Martial Arts, Shounen",Movie,1.0,Media Factory,Studio Pierrot,Manga,24 min.,4379.0,3344.0,23934,69,403,17122,277,208,5924
Yuu☆Yuu☆Hakusho: Meikai Shitou-hen - Honoo no Kizuna,7.21,"Action, Adventure, Comedy, Demons, Supernatural, Martial Arts, Shounen",Movie,1.0,"Movic, A-Line",Studio Pierrot,Manga,1 hr. 34 min.,2727.0,3466.0,22328,32,333,15882,287,177,5649
Shin Angyo Onshi,6.88,"Action, Fantasy",Movie,1.0,Shogakukan-Shueisha Productions,OLM Digital,Manga,1 hr. 25 min.,4137.0,3982.0,16686,28,321,11399,180,157,4629
Tenshi no Tamago,7.69,"Fantasy, Dementia, Drama",OVA,1.0,Tokuma Shoten,Studio Deen,Original,1 hr. 11 min.,1065.0,1516.0,91300,2111,2180,46802,946,514,40858
